datetime,value,validation_block,predict
2019-09-27 00:00:00,12400.0,0,12466.666666666668
2019-10-04 00:00:00,12600.0,0,12489.014705882355
2019-10-11 00:00:00,12600.0,0,12518.495098039219
2019-10-18 00:00:00,12600.0,0,12546.836743393013
2019-10-25 00:00:00,12600.0,0,12573.429596476275
2019-11-01 00:00:00,12600.0,0,12610.853367433934
2019-11-08 00:00:00,12800.0,0,12648.794046604153
2019-11-15 00:00:00,12800.0,0,12682.127379937487
2019-11-22 00:00:00,12900.0,0,12704.475419153174
2019-11-29 00:00:00,12900.0,0,12733.955811310037
2019-12-06 00:00:00,12800.0,1,12898.199999999999
2019-12-13 00:00:00,12800.0,1,12927.057142857142
2019-12-20 00:00:00,12900.0,1,12966.590476190475
2019-12-27 00:00:00,12900.0,1,13007.585714285713
2020-01-03 00:00:00,12900.0,1,13043.795238095237
2020-01-10 00:00:00,13000.0,1,13070.761904761905
2020-01-17 00:00:00,13000.0,1,13103.228571428572
2020-01-24 00:00:00,13000.0,1,13134.761904761905
2020-01-31 00:00:00,12900.0,1,13163.619047619048
2020-02-07 00:00:00,13000.0,1,13203.15238095238
