datetime,value,validation_block,predict
2019-09-27 00:00:00,1941507.0,0,1941553.1621256955
2019-10-04 00:00:00,1933015.0,0,1941478.1575847245
2019-10-11 00:00:00,1930158.0,0,1941403.1530437535
2019-10-18 00:00:00,1920137.0,0,1941328.1485027825
2019-10-25 00:00:00,1917214.0,0,1941253.1439618114
2019-11-01 00:00:00,1920378.0,0,1941178.1394208404
2019-11-08 00:00:00,1913075.0,0,1941103.1348798694
2019-11-15 00:00:00,1906146.0,0,1941028.1303388984
2019-11-22 00:00:00,1904925.0,0,1940953.1257979274
2019-11-29 00:00:00,1898996.0,0,1940878.1212569564
2019-12-06 00:00:00,1916022.0,1,1904200.2810650202
2019-12-13 00:00:00,1915097.0,1,1904260.2287967075
2019-12-20 00:00:00,1904923.0,1,1904320.1765283942
2019-12-27 00:00:00,1902036.0,1,1904380.1242600814
2020-01-03 00:00:00,1916804.0,1,1904440.0719917682
2020-01-10 00:00:00,1931265.0,1,1904500.0197234554
2020-01-17 00:00:00,1929365.0,1,1904559.9674551422
2020-01-24 00:00:00,1930365.0,1,1904619.9151868294
2020-01-31 00:00:00,1929474.0,1,1904679.8629185162
2020-02-07 00:00:00,1928460.0,1,1904739.8106502034
