datetime,value,validation_block,predict
2018-05-01 00:00:00,2.98,0,2.783456498582748
2018-06-01 00:00:00,2.91,0,2.61855290076559
2018-07-01 00:00:00,2.89,0,2.4642040049762324
2018-08-01 00:00:00,2.89,0,2.3167939225015584
2018-09-01 00:00:00,3.0,0,2.1875222844281725
2018-10-01 00:00:00,3.15,0,2.0656435799705712
2018-11-01 00:00:00,3.12,0,1.9546618054478673
2018-12-01 00:00:00,2.83,0,1.864779991125645
2019-01-01 00:00:00,2.71,0,1.76155914356079
2019-02-01 00:00:00,2.68,0,1.6355582119699728
2019-03-01 00:00:00,2.57,1,2.5640551311031796
2019-04-01 00:00:00,2.53,1,2.3900246739681217
2019-05-01 00:00:00,2.4,1,2.221155717568765
2019-06-01 00:00:00,2.07,1,2.093416239249648
2019-07-01 00:00:00,2.06,1,1.9835109190956652
2019-08-01 00:00:00,1.63,1,1.8504116907710761
2019-09-01 00:00:00,1.7,1,1.7092519162275024
2019-10-01 00:00:00,1.71,1,1.5744283416944747
2019-11-01 00:00:00,1.81,1,1.4435860986360707
2019-12-01 00:00:00,1.86,1,1.3279024831038742
