datetime,value,validation_block,predict
2018-09-26 20:00:00,285.82,0,287.94
2018-09-26 21:00:00,284.41,0,287.94
2018-09-26 22:00:00,284.51,0,287.94
2018-09-26 23:00:00,284.86,0,287.94
2018-09-27 00:00:00,285.26,0,287.94
2018-09-27 01:00:00,285.8,0,287.94
2018-09-27 02:00:00,286.16,0,287.94
2018-09-27 03:00:00,286.74,0,287.94
2018-09-27 04:00:00,286.75,0,287.94
2018-09-27 05:00:00,286.49,0,287.94
2018-09-27 06:00:00,285.37,0,287.94
2018-09-27 07:00:00,285.17,0,287.94
2018-09-27 08:00:00,285.05,0,287.94
2018-09-27 09:00:00,285.5,0,287.94
2018-09-27 10:00:00,286.39,0,287.94
2018-09-27 11:00:00,286.88,0,287.94
2018-09-27 12:00:00,287.24,0,287.94
2018-09-27 13:00:00,287.61,0,287.94
2018-09-27 14:00:00,288.38,0,287.94
2018-09-27 15:00:00,288.28,0,287.94
2018-09-27 16:00:00,288.68,0,287.94
2018-09-27 17:00:00,288.04,0,287.94
2018-09-27 18:00:00,287.5,0,287.94
2018-09-27 19:00:00,286.91,0,287.94
2018-09-27 20:00:00,285.75,0,287.94
2018-09-27 21:00:00,284.77,0,287.94
2018-09-27 22:00:00,283.86,0,287.94
2018-09-27 23:00:00,282.96,0,287.94
2018-09-28 00:00:00,282.2,0,287.94
2018-09-28 01:00:00,281.89,0,287.94
2018-09-28 02:00:00,281.31,0,287.94
2018-09-28 03:00:00,280.65,0,287.94
2018-09-28 04:00:00,280.13,0,287.94
2018-09-28 05:00:00,280.08,0,287.94
2018-09-28 06:00:00,279.46,0,287.94
2018-09-28 07:00:00,279.03,0,287.94
2018-09-28 08:00:00,278.83,0,287.94
2018-09-28 09:00:00,279.53,0,287.94
2018-09-28 10:00:00,280.94,0,287.94
2018-09-28 11:00:00,282.43,0,287.94
2018-09-28 12:00:00,283.54,0,287.94
2018-09-28 13:00:00,283.74,0,287.94
2018-09-28 14:00:00,285.0,0,287.94
2018-09-28 15:00:00,285.14,0,287.94
2018-09-28 16:00:00,285.33,0,287.94
2018-09-28 17:00:00,285.24,0,287.94
2018-09-28 18:00:00,284.39,0,287.94
2018-09-28 19:00:00,283.17,0,287.94
2018-09-28 20:00:00,281.23,0,287.94
2018-09-28 21:00:00,279.32,0,287.94
2018-09-28 22:00:00,278.09,1,279.32
2018-09-28 23:00:00,277.45,1,279.32
2018-09-29 00:00:00,276.18,1,279.32
2018-09-29 01:00:00,275.24,1,279.32
2018-09-29 02:00:00,275.26,1,279.32
2018-09-29 03:00:00,274.6,1,279.32
2018-09-29 04:00:00,274.25,1,279.32
2018-09-29 05:00:00,274.66,1,279.32
2018-09-29 06:00:00,274.62,1,279.32
2018-09-29 07:00:00,274.79,1,279.32
2018-09-29 08:00:00,275.43,1,279.32
2018-09-29 09:00:00,276.17,1,279.32
2018-09-29 10:00:00,277.21,1,279.32
2018-09-29 11:00:00,278.08,1,279.32
2018-09-29 12:00:00,278.89,1,279.32
2018-09-29 13:00:00,279.66,1,279.32
2018-09-29 14:00:00,280.31,1,279.32
2018-09-29 15:00:00,280.99,1,279.32
2018-09-29 16:00:00,281.41,1,279.32
2018-09-29 17:00:00,281.44,1,279.32
2018-09-29 18:00:00,281.02,1,279.32
2018-09-29 19:00:00,280.68,1,279.32
2018-09-29 20:00:00,280.55,1,279.32
2018-09-29 21:00:00,280.4,1,279.32
2018-09-29 22:00:00,280.54,1,279.32
2018-09-29 23:00:00,280.32,1,279.32
2018-09-30 00:00:00,280.3,1,279.32
2018-09-30 01:00:00,280.19,1,279.32
2018-09-30 02:00:00,280.07,1,279.32
2018-09-30 03:00:00,280.08,1,279.32
2018-09-30 04:00:00,279.88,1,279.32
2018-09-30 05:00:00,279.96,1,279.32
2018-09-30 06:00:00,280.17,1,279.32
2018-09-30 07:00:00,280.16,1,279.32
2018-09-30 08:00:00,280.28,1,279.32
2018-09-30 09:00:00,280.62,1,279.32
2018-09-30 10:00:00,281.38,1,279.32
2018-09-30 11:00:00,282.18,1,279.32
2018-09-30 12:00:00,282.69,1,279.32
2018-09-30 13:00:00,283.03,1,279.32
2018-09-30 14:00:00,283.48,1,279.32
2018-09-30 15:00:00,283.84,1,279.32
2018-09-30 16:00:00,284.38,1,279.32
2018-09-30 17:00:00,284.79,1,279.32
2018-09-30 18:00:00,284.2,1,279.32
2018-09-30 19:00:00,283.45,1,279.32
2018-09-30 20:00:00,282.76,1,279.32
2018-09-30 21:00:00,282.73,1,279.32
2018-09-30 22:00:00,282.09,1,279.32
2018-09-30 23:00:00,282.12,1,279.32
