datetime,value,validation_block,predict
2018-02-16 22:00:00,0.78,0,0.7875875344471716
2018-02-16 22:01:00,0.78,0,0.787907138499682
2018-02-16 22:02:00,0.78,0,0.788209087776662
2018-02-16 22:03:00,0.78,0,0.7885169885553008
2018-02-16 22:04:00,0.78,0,0.788813119483586
2018-02-16 22:05:00,0.78,0,0.7890974805615173
2018-02-16 22:06:00,0.78,0,0.7893700717890948
2018-02-16 22:07:00,0.78,0,0.7896308931663185
2018-02-16 22:08:00,0.78,0,0.789879944693188
2018-02-16 22:09:00,0.78,0,0.7901172263697036
2018-02-16 22:10:00,0.78,0,0.7904945791650213
2018-02-16 22:11:00,0.78,0,0.7908589851249498
2018-02-16 22:12:00,0.78,0,0.7912104442494888
2018-02-16 22:13:00,0.78,0,0.7915489565386388
2018-02-16 22:14:00,0.78,0,0.7918745219923994
2018-02-16 22:15:00,0.78,0,0.7921871406107708
2018-02-16 22:16:00,0.78,0,0.792486812393753
2018-02-16 22:17:00,0.78,0,0.792773537341346
2018-02-16 22:18:00,0.77,0,0.7930473154535492
2018-02-16 22:19:00,0.77,0,0.7933081467303638
2018-02-16 22:20:00,0.77,0,0.7935560311717887
2018-02-16 22:21:00,0.77,0,0.7937909687778245
2018-02-16 22:22:00,0.77,0,0.7940129595484713
2018-02-16 22:23:00,0.77,0,0.7942220034837282
2018-02-16 22:24:00,0.77,0,0.7944181005835962
2018-02-16 22:25:00,0.77,0,0.7946012508480751
2018-02-16 22:26:00,0.77,0,0.7947714542771644
2018-02-16 22:27:00,0.77,0,0.7949287108708648
2018-02-16 22:28:00,0.77,0,0.7950730206291758
2018-02-16 22:29:00,0.77,0,0.7952043835520975
2018-02-16 22:30:00,0.77,0,0.7953227996396299
2018-02-16 22:31:00,0.77,0,0.7954282688917731
2018-02-16 22:32:00,0.77,0,0.7955207913085273
2018-02-16 22:33:00,0.77,0,0.7956003668898916
2018-02-16 22:34:00,0.77,0,0.795666995635867
2018-02-16 22:35:00,0.77,0,0.7957206775464533
2018-02-16 22:36:00,0.77,0,0.79576141262165
2018-02-16 22:37:00,0.77,0,0.7957892008614578
2018-02-16 22:38:00,0.77,0,0.795804042265876
2018-02-16 22:39:00,0.77,0,0.7958059368349049
2018-02-16 22:40:00,0.77,0,0.7957948845685446
2018-02-16 22:41:00,0.77,0,0.7957708854667953
2018-02-16 22:42:00,0.77,0,0.7957339395296569
2018-02-16 22:43:00,0.77,0,0.7956840467571286
2018-02-16 22:44:00,0.77,0,0.7956212071492115
2018-02-16 22:45:00,0.77,0,0.795545420705905
2018-02-16 22:46:00,0.77,0,0.7954566874272094
2018-02-16 22:47:00,0.77,0,0.7953550073131243
2018-02-16 22:48:00,0.77,0,0.7952403803636501
2018-02-16 22:49:00,0.77,0,0.7951622409669449
2018-02-16 22:50:00,0.77,1,0.7910426124516943
2018-02-16 22:51:00,0.77,1,0.7920954145133027
2018-02-16 22:52:00,0.77,1,0.793114762705415
2018-02-16 22:53:00,0.77,1,0.7936307421238699
2018-02-16 22:54:00,0.77,1,0.7941244189626605
2018-02-16 22:55:00,0.77,1,0.794595793221787
2018-02-16 22:56:00,0.77,1,0.7950448649012497
2018-02-16 22:57:00,0.77,1,0.7954716340010481
2018-02-16 22:58:00,0.77,1,0.795876100521182
2018-02-16 22:59:00,0.77,1,0.7962582644616517
2018-02-16 23:00:00,0.77,1,0.7968196820451441
2018-02-16 23:01:00,0.77,1,0.7973565667910059
2018-02-16 23:02:00,0.77,1,0.7978689186992372
2018-02-16 23:03:00,0.77,1,0.7983567377698377
2018-02-16 23:04:00,0.77,1,0.7988200240028077
2018-02-16 23:05:00,0.77,1,0.7992587773981471
2018-02-16 23:06:00,0.77,1,0.7996729979558558
2018-02-16 23:07:00,0.77,1,0.8000626856759342
2018-02-16 23:08:00,0.77,1,0.8004278405583815
2018-02-16 23:09:00,0.77,1,0.8007684626031988
2018-02-16 23:10:00,0.77,1,0.8010845518103853
2018-02-16 23:11:00,0.77,1,0.8013761081799411
2018-02-16 23:12:00,0.77,1,0.8016431317118666
2018-02-16 23:13:00,0.77,1,0.8018856224061609
2018-02-16 23:14:00,0.77,1,0.8021035802628251
2018-02-16 23:15:00,0.77,1,0.8022970052818588
2018-02-16 23:16:00,0.76,1,0.8024658974632615
2018-02-16 23:17:00,0.76,1,0.8026102568070341
2018-02-16 23:18:00,0.76,1,0.8027300833131757
2018-02-16 23:19:00,0.76,1,0.802825376981687
2018-02-16 23:20:00,0.76,1,0.8028961378125676
2018-02-16 23:21:00,0.76,1,0.8029423658058175
2018-02-16 23:22:00,0.76,1,0.8029640609614369
2018-02-16 23:23:00,0.76,1,0.8029612232794255
2018-02-16 23:24:00,0.76,1,0.8029338527597839
2018-02-16 23:25:00,0.76,1,0.8028819494025116
2018-02-16 23:26:00,0.76,1,0.8028055132076087
2018-02-16 23:27:00,0.76,1,0.8027045441750752
2018-02-16 23:28:00,0.76,1,0.8025790423049111
2018-02-16 23:29:00,0.76,1,0.8024290075971161
2018-02-16 23:30:00,0.76,1,0.8022544400516909
2018-02-16 23:31:00,0.76,1,0.802055339668635
2018-02-16 23:32:00,0.76,1,0.8018317064479489
2018-02-16 23:33:00,0.76,1,0.8015835403896315
2018-02-16 23:34:00,0.76,1,0.8013108414936839
2018-02-16 23:35:00,0.76,1,0.8010136097601057
2018-02-16 23:36:00,0.76,1,0.8006918451888971
2018-02-16 23:37:00,0.76,1,0.8003455477800575
2018-02-16 23:38:00,0.76,1,0.7999747175335881
2018-02-16 23:39:00,0.76,1,0.7997112103143903
